"sample_id","ref_Pb","ComptonPb","NIR_bag_mean_Pb"
"mv426",369.75,548.333333333333,266.8302591
"mv427",1444.11,1108.66666666667,1031.617843
"mv43",26.79,33.2,59.2236618
"mv44",20.68,28.9,35.45289695
"mv45",290.25,276,143.754845
"mv46",41.63,65.6666666666667,34.19522247
"mv47",79.1,93.6333333333333,31.16582706
"mv48",11.23,12.2,68.39850001
"mv5",48.9,59.5333333333333,94.1283696
"mv50",12.41,13.0666666666667,24.37328274
"mv53",23.43,30.2,60.04991959
"mv56",5.8,6.3,40.00240621
"mv57",45.47,51.0666666666667,25.37016536
"mv58",14.05,15.5666666666667,43.31582073
"mv60",54.32,47.7333333333333,73.56096756
"mv61",44.92,43.7666666666667,38.05293976
"mv62",85.53,88.6,61.9454644
"mv64",20.33,24.1,36.22275251
"mv65",28.76,29.2333333333333,39.91036694
"mv66",32.87,57,9.920799675
"mv68",24.94,27.3,43.25765774
"mv72",55.17,57.8333333333333,158.6865739
"mv73",45.09,53.5666666666667,17.19940208
"mv74",52.33,53.6,63.52680931
"mv75",36.63,50.8,597.6255548
"mv76",15,21.4666666666667,53.56925964
"mv77",8.74,12.8,28.47312647
"mv78",27.51,36.4666666666667,34.02695894
"mv79",582.32,442,262.7632018
"mv80",35.28,34.2666666666667,29.19816597
"mv84",14.55,12.7333333333333,34.31411274
"mv86",64.4,83.1333333333333,76.82781125
"mv87",7.42,9.66666666666667,69.87644939
"mv89",230.94,229,107.7606931
"mv9",9.52,13.7666666666667,79.46466728
"mv90",128.22,163.666666666667,81.38067719
"mv91",23.25,32.4,33.49034363
"mv92",220.61,356.333333333333,79.7708902
"mv93",21.83,25.8,31.87715557
"mv94",140.8,193.666666666667,68.65704689
"mv95",15.06,16.0666666666667,13.3870395
"mv96",140.31,162.333333333333,18.04495995
"mv97",1064.81,804.333333333333,391.3326247
"mv99",82.76,116.666666666667,35.57683113
"pj004",232.06,172.333333333333,141.3268129
"pj005",77.52,88.4,78.58481956
"pj010",187.28,182.333333333333,832.6916504
"pj014",17.2,12.3666666666667,17.03417709
"pj015",16.31,9.93333333333333,24.42347328
"pj017",61.11,66.2333333333333,94.49863571
"pj018",68.21,63,57.91748428
"pj019",86.28,89,124.0054372
"pj022",25.42,24.0333333333333,65.89506799
"pj023",107.36,118,69.40433456
"pj024",32.5,27.4,68.07880398
"pj025",76.24,70.3333333333333,86.38753609
"pj026",93.59,104.233333333333,95.67558762
"pj028",118,144,77.3059285
"pj029",49.28,53.0333333333333,79.42314678
"pj030",31.69,34.8,47.38195887
"pj032",86.34,80.0333333333333,82.76123489
"pj033",113.74,125.666666666667,93.00346626
"pj034",272.44,268,164.8359741
"pj035",58.08,63.5666666666667,58.05103302
"pj048",50.95,38.5333333333333,48.13575204
"pj090",6.69,11.2,39.70838232
"pj092",15.73,16.6666666666667,15.24610603
"pj093",40.34,42,45.0446851
"pj094",42.87,53.8666666666667,83.85466629
"pj100",25.72,42.4333333333333,36.93842953
"pj103",101.62,448,175.7176868
"pj104",30.13,31.8666666666667,86.07002224
"pj105",68.86,86.3333333333333,68.3581662
"pj108",79.64,90.2,107.0753546
"pj109",17.37,16.5333333333333,28.51382079
